Participant ID,Time,Trial Number,Bounce Number,Apex Height,Apex-Target Distance,Apex In Target Area?,Paddle height at hit,Paddle velocity at hit,Paddle acceleration at hit
1,161.372,21,10,1.709155,0.3954328,NO,1.363681,0.8094385,4.379978
1,161.819,21,11,1.576531,0.2628094,NO,1.317904,0.630284,-3.505561
1,163.248,21,12,1.601445,0.2877233,NO,1.209514,0.9344323,-3.382414
1,164.933,22,1,1.68774,0.374018,NO,1.409038,0.6837581,3.043235
1,165.471,22,2,1.673047,0.3593247,NO,1.202176,0.9662054,-5.644931
1,166.084,22,3,1.817068,0.5033456,NO,1.336274,0.9497548,-7.292916
1,166.599,22,4,1.625805,0.3120835,NO,1.280649,0.7611208,1.650311
1,167.12,22,5,1.579062,0.2653401,NO,1.220374,0.812795,-3.63493
1,168.665,22,6,1.279431,0.03429079,YES,1.169568,0.3125701,-7.670943
1,170.41,23,1,1.35585,0.04212749,YES,1.047265,0.7182462,3.772981
1,170.949,23,2,1.410135,0.09641314,NO,0.9646899,0.8978985,8.919225
1,171.58,23,3,1.594804,0.281082,NO,1.036849,1.018023,0.4011018
1,172.15,23,4,1.536684,0.2229615,NO,1.071554,0.9231066,11.60147
1,172.624,23,5,1.410754,0.09703171,NO,1.099857,0.7244151,4.91546
1,173.12,23,6,1.379766,0.06604397,NO,1.064404,0.7941359,-1.387771
1,173.691,23,7,1.47346,0.1597377,NO,0.9840875,0.9661323,-6.914134
1,174.232,23,8,1.446449,0.1327274,NO,1.057801,0.9216752,-25.86186
1,174.61,23,9,1.176554,0.1371679,NO,1.010047,0.4739243,2.811176
1,175.376,23,10,1.793247,0.4795245,NO,0.8707284,1.33895,-9.97336
1,177.635,23,11,1.312443,0.001279235,YES,1.14725,0.8768791,-4.697939
1,181.779,24,1,1.249832,0.06388974,NO,1.118316,0.368808,-10.96041
1,183.63,26,1,1.680497,0.3667748,NO,1.337448,0.8296006,3.426278
1,184.168,26,2,1.663819,0.3500974,NO,1.271812,0.7406922,-5.058856
1,184.633,26,3,1.537874,0.2241521,NO,1.237507,0.7141805,-4.381941
1,185.151,26,4,1.542832,0.2291105,NO,1.19525,0.8011206,-1.950534
1,185.578,26,5,1.385669,0.0719471,NO,1.11981,0.655098,-1.415409
1,186.122,26,6,1.524154,0.2104321,NO,1.096582,0.8682486,-0.2512209
1,186.566,26,7,1.367522,0.05380011,NO,1.114563,0.8117211,1.543258
1,187.066,26,8,1.384977,0.07125521,NO,1.020787,0.8049616,-3.049499
1,187.626,26,9,1.490492,0.1767695,NO,1.025321,0.9128823,2.770101
1,188.098,26,10,1.378803,0.06508112,NO,1.077344,0.7248498,3.741263
1,188.616,26,11,1.420921,0.107199,NO,1.024396,0.854726,-2.679788
1,189.106,26,12,1.390283,0.07656145,NO,1.051348,0.7572086,6.021921
1,189.605,26,13,1.377973,0.06425142,NO,1.036036,0.7614473,-2.40562
1,190.16,26,14,1.439513,0.1257908,NO,1.006709,0.9452777,1.177555
1,190.485,26,15,1.144201,0.169521,NO,1.009194,0.4081519,-3.706341
1,191.048,26,16,1.391851,0.07812941,NO,0.9002696,0.951497,15.68763
1,191.686,26,17,1.574622,0.2608995,NO,0.9962105,1.02855,-4.559019
1,193.529,26,18,1.40614,0.09241843,NO,1.047206,0.7928059,-3.769407
1,195.243,27,1,1.499452,0.1857305,NO,1.185238,0.7434765,23.5369
1,195.621,27,2,1.297004,0.01671791,YES,1.113459,0.5540949,-2.181363
1,196.275,27,3,1.577739,0.2640172,NO,1.017384,1.021923,5.190966
1,196.613,27,4,1.133772,0.1799504,NO,0.9872515,0.5164691,1.709301
1,197.201,27,5,1.348022,0.03429949,YES,0.8977535,0.915325,5.53585
1,200.957,27,6,1.48111,0.1673883,NO,0.8625867,1.197349,-0.815751
