Participant ID,Condition,Visit,Timestamp,Ball Position X,Ball Position Y,Ball Position Z,Paddle Velocity,Paddle Acceleration
,TARGETLINE,TARGETLINE,TRANSFER,16.508,0,-1.824656,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.509,0,-1.834466,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.51,0,-1.844276,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.511,0,-1.854086,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.512,0,-1.863896,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.513,0,-1.873706,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.514,0,-1.883516,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.515,0,-1.893326,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.516,0,-1.903136,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.517,0,-1.912946,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.518,0,-1.922756,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.519,0,-1.932566,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.52,0,-1.942376,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.521,0,-1.952186,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.522,0,-1.961996,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.523,0,-1.971806,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.524,0,-1.981616,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.525,0,-1.991426,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.526,0,-2.001236,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.527,0,-2.011046,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.528,0,-2.020856,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.529,0,-2.030666,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.53,0,-2.040476,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.531,0,-2.050286,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.532,0,-2.060096,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.533,0,-2.069906,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.534,0,-2.079715,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.535,0,-2.089525,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.536,0,-2.099335,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.537,0,-2.109145,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.538,0,-2.118955,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.539,0,-2.128765,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.54,0,-2.138575,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.541,0,-2.148385,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.542,0,-2.158195,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.543,0,-2.168005,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.544,0,-2.177815,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.545,0,-2.187625,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.546,0,-2.197435,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.547,0,-2.207245,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.548,0,-2.217055,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.549,0,-2.226865,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.55,0,-2.236675,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.551,0,-2.246485,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.552,0,-2.256295,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.553,0,-2.266105,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.554,0,-2.275915,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.555,0,-2.285725,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.556,0,-2.295535,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.557,0,-2.305345,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.558,0,-2.315155,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.559,0,-2.324965,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.56,0,-2.334775,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.561,0,-2.344585,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.562,0,-2.354395,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.563,0,-2.364205,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.564,0,-2.374015,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.565,0,-2.383825,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.566,0,-2.393635,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.567,0,-2.403445,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.568,0,-2.413254,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.569,0,-2.423064,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.57,0,-2.432874,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.571,0,-2.442684,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.572,0,-2.452494,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.573,0,-2.462304,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.574,0,-2.472114,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.575,0,-2.481924,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.576,0,-2.491734,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.577,0,-2.501544,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.578,0,-2.511354,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.579,0,-2.521164,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.58,0,-2.530974,0,0,0
